college,branch,category,cutoff_percentile,category_name
COEP Technological University,Civil Engineering,GOPENS,95.6211259,General Open
COEP Technological University,Civil Engineering,GSCS,92.4172762,General SC
COEP Technological University,Civil Engineering,GSTS,96.5454743,General ST
COEP Technological University,Civil Engineering,GOBCS,98.1869508,General OBC
COEP Technological University,Civil Engineering,GSEBCS,98.0588604,General SEBC
COEP Technological University,Civil Engineering,LOPENS,93.6678322,Ladies Open
COEP Technological University,Civil Engineering,PWDOPENS,80.3575863,PWD Open
COEP Technological University,Civil Engineering,TFWS,84.8811189,Tuition Fee Waiver
COEP Technological University,Computer Science and Engineering,GOPENS,98.9197811,General Open
COEP Technological University,Computer Science and Engineering,GSCS,95.830721,General SC
COEP Technological University,Computer Science and Engineering,GSTS,99.3595406,General ST
COEP Technological University,Computer Science and Engineering,GOBCS,99.7972248,General OBC
COEP Technological University,Computer Science and Engineering,GSEBCS,99.901332,General SEBC
COEP Technological University,Computer Science and Engineering,LOPENS,98.5995086,Ladies Open
COEP Technological University,Computer Science and Engineering,PWDOPENS,83.4924535,PWD Open
COEP Technological University,Computer Science and Engineering,TFWS,97.7946794,Tuition Fee Waiver
COEP Technological University,Electrical Engineering,GOPENS,97.4161284,General Open
COEP Technological University,Electrical Engineering,GSCS,89.2945239,General SC
COEP Technological University,Electrical Engineering,GSTS,97.600319,General ST
COEP Technological University,Electrical Engineering,GOBCS,99.1726706,General OBC
COEP Technological University,Electrical Engineering,GSEBCS,99.3006993,General SEBC
COEP Technological University,Electrical Engineering,LOPENS,96.684051,Ladies Open
COEP Technological University,Electrical Engineering,PWDOPENS,72.6730266,PWD Open
COEP Technological University,Electrical Engineering,TFWS,85.4112341,Tuition Fee Waiver
COEP Technological University,Electronics and Telecommunication Engg,GOPENS,98.3580268,General Open
COEP Technological University,Electronics and Telecommunication Engg,GSCS,94.434629,General SC
COEP Technological University,Electronics and Telecommunication Engg,GSTS,98.9097204,General ST
COEP Technological University,Electronics and Telecommunication Engg,GOBCS,99.5104535,General OBC
COEP Technological University,Electronics and Telecommunication Engg,GSEBCS,99.6143295,General SEBC
COEP Technological University,Electronics and Telecommunication Engg,LOPENS,97.1938598,Ladies Open
COEP Technological University,Electronics and Telecommunication Engg,PWDOPENS,78.6137148,PWD Open
COEP Technological University,Electronics and Telecommunication Engg,TFWS,94.3738279,Tuition Fee Waiver
COEP Technological University,Instrumentation and Control Engineering,GOPENS,97.0921673,General Open
COEP Technological University,Instrumentation and Control Engineering,GSCS,87.7787039,General SC
COEP Technological University,Instrumentation and Control Engineering,GSTS,97.2146575,General ST
COEP Technological University,Instrumentation and Control Engineering,GOBCS,98.8156946,General OBC
COEP Technological University,Instrumentation and Control Engineering,GSEBCS,99.1082756,General SEBC
COEP Technological University,Instrumentation and Control Engineering,LOPENS,96.5830721,Ladies Open
COEP Technological University,Instrumentation and Control Engineering,PWDOPENS,98.2863114,PWD Open
COEP Technological University,Instrumentation and Control Engineering,TFWS,74.5404987,Tuition Fee Waiver
COEP Technological University,Mechanical Engineering,GOPENS,97.1832984,General Open
COEP Technological University,Mechanical Engineering,GSCS,87.9466479,General SC
COEP Technological University,Mechanical Engineering,GSTS,98.5609164,General ST
COEP Technological University,Mechanical Engineering,GOBCS,98.8506155,General OBC
COEP Technological University,Mechanical Engineering,GSEBCS,99.0908422,General SEBC
COEP Technological University,Mechanical Engineering,LOPENS,95.1080209,Ladies Open
COEP Technological University,Mechanical Engineering,PWDOPENS,54.1537389,PWD Open
COEP Technological University,Mechanical Engineering,TFWS,83.4741816,Tuition Fee Waiver
COEP Technological University,Manufacturing Science and Engineering,GOPENS,95.8038869,General Open
COEP Technological University,Manufacturing Science and Engineering,GSCS,86.7181467,General SC
COEP Technological University,Manufacturing Science and Engineering,GSTS,97.0921673,General ST
COEP Technological University,Manufacturing Science and Engineering,GOBCS,98.1729808,General OBC
COEP Technological University,Manufacturing Science and Engineering,GSEBCS,98.4934988,General SEBC
COEP Technological University,Manufacturing Science and Engineering,LOPENS,92.933589,Ladies Open
COEP Technological University,Manufacturing Science and Engineering,PWDOPENS,44.5303298,PWD Open
COEP Technological University,Manufacturing Science and Engineering,TFWS,58.8525307,Tuition Fee Waiver
COEP Technological University,Metallurgy and Material Technology,GOPENS,94.6277162,General Open
COEP Technological University,Metallurgy and Material Technology,GSCS,81.0403668,General SC
COEP Technological University,Metallurgy and Material Technology,GSTS,94.2598398,General ST
COEP Technological University,Metallurgy and Material Technology,GOBCS,97.9603197,General OBC
COEP Technological University,Metallurgy and Material Technology,GSEBCS,98.1051898,General SEBC
COEP Technological University,Metallurgy and Material Technology,LOPENS,91.6321516,Ladies Open
COEP Technological University,Metallurgy and Material Technology,PWDOPENS,43.658874,PWD Open
COEP Technological University,Metallurgy and Material Technology,TFWS,47.7841578,Tuition Fee Waiver
COEP Technological University,Artificial Intelligence and Machine Learning,GOPENS,98.6211176,General Open
COEP Technological University,Artificial Intelligence and Machine Learning,GSCS,95.45053,General SC
COEP Technological University,Artificial Intelligence and Machine Learning,GSTS,99.6353457,General ST
COEP Technological University,Artificial Intelligence and Machine Learning,GOBCS,99.738767,General OBC
